variant benchmark hosts processes schedulers cores workers runtime
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1481.081003002
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1483.564742267
Ordered knapPI_12_20_1000_059 1 1 1 2 1 1521.775049403
Ordered knapPI_12_20_1000_059 1 1 2 3 2 906.643374576
Ordered knapPI_12_20_1000_059 1 1 2 3 2 911.911112831
Ordered knapPI_12_20_1000_059 1 1 2 3 2 912.553817648
Ordered knapPI_12_20_1000_059 1 1 2 3 2 912.762468006
Ordered knapPI_12_20_1000_059 1 1 2 3 2 917.149128412
Ordered knapPI_12_20_1000_059 1 1 2 3 2 920.795723001
Ordered knapPI_12_20_1000_059 1 1 2 3 2 924.044738334
Ordered knapPI_12_20_1000_059 1 1 2 3 2 926.457927765
Ordered knapPI_12_20_1000_059 1 1 2 3 2 928.062386502
Ordered knapPI_12_20_1000_059 1 1 2 3 2 941.425759155
Ordered knapPI_12_20_1000_059 1 1 4 5 4 513.529774199
Ordered knapPI_12_20_1000_059 1 1 4 5 4 515.11454409
Ordered knapPI_12_20_1000_059 1 1 4 5 4 521.257269321
Ordered knapPI_12_20_1000_059 1 1 4 5 4 521.811623601
Ordered knapPI_12_20_1000_059 1 1 4 5 4 531.04764844
Ordered knapPI_12_20_1000_059 1 1 4 5 4 533.875091687
Ordered knapPI_12_20_1000_059 1 1 4 5 4 561.110753973
Ordered knapPI_12_20_1000_059 1 1 4 5 4 562.086896676
Ordered knapPI_12_20_1000_059 1 1 4 5 4 567.187669786
Ordered knapPI_12_20_1000_059 1 1 4 5 4 571.343187337
Ordered knapPI_12_20_1000_059 2 2 4 5 8 260.357663305
Ordered knapPI_12_20_1000_059 2 2 4 5 8 263.534997725
Ordered knapPI_12_20_1000_059 2 2 4 5 8 264.434591124
Ordered knapPI_12_20_1000_059 2 2 4 5 8 270.177328179
Ordered knapPI_12_20_1000_059 2 2 4 5 8 271.225455408
Ordered knapPI_12_20_1000_059 2 2 4 5 8 276.756549128
Ordered knapPI_12_20_1000_059 2 2 4 5 8 276.844657236
Ordered knapPI_12_20_1000_059 2 2 4 5 8 279.560742031
Ordered knapPI_12_20_1000_059 2 2 4 5 8 282.486495598
Ordered knapPI_12_20_1000_059 2 2 4 5 8 282.936895829
Ordered knapPI_12_20_1000_059 4 8 4 5 32 117.071530744
Ordered knapPI_12_20_1000_059 4 8 4 5 32 117.287333302
Ordered knapPI_12_20_1000_059 4 8 4 5 32 117.93407364
Ordered knapPI_12_20_1000_059 4 8 4 5 32 118.299166884
Ordered knapPI_12_20_1000_059 4 8 4 5 32 119.053564784
Ordered knapPI_12_20_1000_059 4 8 4 5 32 121.011297364
Ordered knapPI_12_20_1000_059 4 8 4 5 32 123.453264281
