variant benchmark hosts processes schedulers cores workers runtime
Ordered rand_37_6160 1 1 1 2 1 1659.204703839
Ordered rand_37_6160 1 1 1 2 1 1660.601309901
Ordered rand_37_6160 1 1 1 2 1 1665.592367554
Ordered rand_37_6160 1 1 1 2 1 1666.94686357
Ordered rand_37_6160 1 1 1 2 1 1687.929840722
Ordered rand_37_6160 1 1 1 2 1 1689.903152596
Ordered rand_37_6160 1 1 1 2 1 1697.155246505
Ordered rand_37_6160 1 1 1 2 1 1733.258653699
Ordered rand_37_6160 1 1 1 2 1 1735.121446802
Ordered rand_37_6160 1 1 1 2 1 1775.46008138
Ordered rand_37_6160 1 1 2 3 2 1089.875340919
Ordered rand_37_6160 1 1 2 3 2 1090.968264587
Ordered rand_37_6160 1 1 2 3 2 1098.225811632
Ordered rand_37_6160 1 1 2 3 2 1098.558502585
Ordered rand_37_6160 1 1 2 3 2 1105.841880444
Ordered rand_37_6160 1 1 2 3 2 1118.60508351
Ordered rand_37_6160 1 1 2 3 2 1124.496746742
Ordered rand_37_6160 1 1 2 3 2 1134.882744736
Ordered rand_37_6160 1 1 2 3 2 1135.345450635
Ordered rand_37_6160 1 1 2 3 2 1143.106347705
Ordered rand_37_6160 1 1 4 5 4 745.818244407
Ordered rand_37_6160 1 1 4 5 4 745.867195273
Ordered rand_37_6160 1 1 4 5 4 745.886496633
Ordered rand_37_6160 1 1 4 5 4 745.999299573
Ordered rand_37_6160 1 1 4 5 4 746.363967788
Ordered rand_37_6160 1 1 4 5 4 750.715087037
Ordered rand_37_6160 1 1 4 5 4 750.883067457
Ordered rand_37_6160 1 1 4 5 4 754.363112626
Ordered rand_37_6160 1 1 4 5 4 758.718702414
Ordered rand_37_6160 1 1 4 5 4 765.389406283
Ordered rand_37_6160 2 2 4 5 8 394.28985196
Ordered rand_37_6160 2 2 4 5 8 394.842028335
Ordered rand_37_6160 2 2 4 5 8 395.505368806
Ordered rand_37_6160 2 2 4 5 8 396.084929006
Ordered rand_37_6160 2 2 4 5 8 396.409688622
Ordered rand_37_6160 2 2 4 5 8 397.468930634
Ordered rand_37_6160 2 2 4 5 8 397.925852956
Ordered rand_37_6160 2 2 4 5 8 398.609804723
Ordered rand_37_6160 2 2 4 5 8 401.167058962
Ordered rand_37_6160 2 2 4 5 8 404.318017436
