benchmark variant workers runtimeM speedup
sanr200_0.9 Unordered 32 6.0730777937 17.9147548055556
sanr200_0.9 Unordered 64 3.6069382993 30.1634490421736
sanr200_0.9 Unordered 128 2.5764203537 42.228240990627
sanr200_0.9 Unordered 200 2.464815899 44.1402944671609
sanr400_0.7 Ordered 1 278.8387673393 1
sanr400_0.7 Ordered 2 151.3475102592 1.84237432688358
sanr400_0.7 Ordered 4 83.6463291663 3.33354458131607
sanr400_0.7 Ordered 8 45.3180541637 6.1529289481862
sanr400_0.7 Ordered 32 14.58122606 19.1231358866471
sanr400_0.7 Ordered 64 8.790782909 31.7194464049186
sanr400_0.7 Ordered 128 6.305157911 44.223914971715
sanr400_0.7 Ordered 200 6.0736476462 45.9096054927975
sanr400_0.7 Unordered 1 306.3548564702 1
sanr400_0.7 Unordered 2 157.0913159645 1.95017053991343
sanr400_0.7 Unordered 4 86.5069455662 3.54139028334736
sanr400_0.7 Unordered 8 44.2385336202 6.9250680662325
sanr400_0.7 Unordered 32 13.2558709005 23.1108811159774
sanr400_0.7 Unordered 64 7.4097969459 41.3445683744023
sanr400_0.7 Unordered 128 4.511207919 67.9097177454214
sanr400_0.7 Unordered 200 4.062797232 75.4049092229469
