variant benchmark hosts processes schedulers cores workers runtime
Ordered brock400_4 2 2 4 5 8 18.615741066
Ordered brock400_4 2 2 4 5 8 18.896850458
Ordered brock400_4 2 2 4 5 8 18.915716805
Ordered brock400_4 2 2 4 5 8 18.991782581
Ordered brock400_4 2 2 4 5 8 19.034909954
Ordered brock400_4 2 2 4 5 8 19.174426194
Ordered brock400_4 4 8 4 5 32 5.958089779
Ordered brock400_4 4 8 4 5 32 6.003145003
Ordered brock400_4 4 8 4 5 32 6.057074405
Ordered brock400_4 4 8 4 5 32 6.301296142
Ordered brock400_4 4 8 4 5 32 6.302448092
Ordered brock400_4 4 8 4 5 32 6.484770183
Ordered brock400_4 4 8 4 5 32 6.558360373
Ordered brock400_4 4 8 4 5 32 6.798435364
Ordered brock400_4 4 8 4 5 32 7.043220839
Ordered brock400_4 4 8 4 5 32 7.266303949
Ordered brock400_4 8 16 4 5 64 3.794962164
Ordered brock400_4 8 16 4 5 64 3.94584112
Ordered brock400_4 8 16 4 5 64 4.082371701
Ordered brock400_4 8 16 4 5 64 4.325113397
Ordered brock400_4 8 16 4 5 64 4.381873713
Ordered brock400_4 8 16 4 5 64 4.38596629
Ordered brock400_4 8 16 4 5 64 4.467586432
Ordered brock400_4 8 16 4 5 64 4.489874622
Ordered brock400_4 8 16 4 5 64 4.49578492
Ordered brock400_4 8 16 4 5 64 4.503045556
Ordered brock400_4 16 32 4 5 128 3.26902252
Ordered brock400_4 16 32 4 5 128 3.380567744
Ordered brock400_4 16 32 4 5 128 3.564369232
Ordered brock400_4 16 32 4 5 128 3.574154252
Ordered brock400_4 16 32 4 5 128 3.709546339
Ordered brock400_4 16 32 4 5 128 3.791275447
Ordered brock400_4 16 32 4 5 128 3.803868993
Ordered brock400_4 16 32 4 5 128 3.823875235
Ordered brock400_4 16 32 4 5 128 3.88289845
Ordered brock400_4 16 32 4 5 128 4.515434707
Ordered brock400_4 17 50 4 5 200 3.508535158
Ordered brock400_4 17 50 4 5 200 3.877645381
Ordered brock400_4 17 50 4 5 200 3.94071303
Ordered brock400_4 17 50 4 5 200 4.042389068
Ordered brock400_4 17 50 4 5 200 4.183800577
Ordered brock400_4 17 50 4 5 200 4.219031413
Ordered brock400_4 17 50 4 5 200 4.257950787
Ordered brock400_4 17 50 4 5 200 4.279612185
Ordered brock400_4 17 50 4 5 200 4.597095968
Ordered brock400_4 17 50 4 5 200 6.568025487
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 1 2 1 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 2 3 2 NA
Ordered brock800_1 1 1 4 5 4 3271.891795576
Ordered brock800_1 1 1 4 5 4 3284.786371952
Ordered brock800_1 1 1 4 5 4 3288.925930275
Ordered brock800_1 1 1 4 5 4 3292.771209053
Ordered brock800_1 1 1 4 5 4 3296.51480703
Ordered brock800_1 1 1 4 5 4 3297.955630409
Ordered brock800_1 1 1 4 5 4 3304.985213376
Ordered brock800_1 1 1 4 5 4 3331.69805987
Ordered brock800_1 1 1 4 5 4 3353.574020291
Ordered brock800_1 1 1 4 5 4 3370.934208834
Ordered brock800_1 2 2 4 5 8 1663.924198258
Ordered brock800_1 2 2 4 5 8 1665.037417383
Ordered brock800_1 2 2 4 5 8 1666.858751008
Ordered brock800_1 2 2 4 5 8 1667.989354774
Ordered brock800_1 2 2 4 5 8 1669.516575021
Ordered brock800_1 2 2 4 5 8 1669.571813342
Ordered brock800_1 2 2 4 5 8 1670.591247823
Ordered brock800_1 2 2 4 5 8 1672.531790206
Ordered brock800_1 2 2 4 5 8 1674.992978982
Ordered brock800_1 2 2 4 5 8 1676.01108113
Ordered brock800_1 4 8 4 5 32 430.960937764
Ordered brock800_1 4 8 4 5 32 431.490078
Ordered brock800_1 4 8 4 5 32 431.530571805
Ordered brock800_1 4 8 4 5 32 431.650066955
Ordered brock800_1 4 8 4 5 32 431.966615277
Ordered brock800_1 4 8 4 5 32 432.54577019
Ordered brock800_1 4 8 4 5 32 432.580687506
Ordered brock800_1 4 8 4 5 32 432.636644268
Ordered brock800_1 4 8 4 5 32 432.775594206
Ordered brock800_1 4 8 4 5 32 435.880499955
Ordered brock800_1 8 16 4 5 64 219.481709436
Ordered brock800_1 8 16 4 5 64 219.5964423
Ordered brock800_1 8 16 4 5 64 219.648100906
Ordered brock800_1 8 16 4 5 64 220.744105446
Ordered brock800_1 8 16 4 5 64 220.969208141
Ordered brock800_1 8 16 4 5 64 221.177241132
Ordered brock800_1 8 16 4 5 64 221.244854536
Ordered brock800_1 8 16 4 5 64 221.273933619
Ordered brock800_1 8 16 4 5 64 221.301409936
Ordered brock800_1 8 16 4 5 64 221.998292028
Ordered brock800_1 16 32 4 5 128 114.502371547
Ordered brock800_1 16 32 4 5 128 115.118054066
