benchmark variant workers runtimeM speedup
knapPI_15_100_1000_059 Ordered 128 635.5097036767 2.59952889835185
knapPI_15_100_1000_059 Ordered 200 640.2569018145 2.58025463717568
knapPI_15_100_1000_059 Unordered 1 0.0079605795 1
knapPI_15_100_1000_059 Unordered 2 NA NA
knapPI_15_100_1000_059 Unordered 4 NA NA
knapPI_15_100_1000_059 Unordered 8 84.0690825799 9.46909286470944e-05
knapPI_15_100_1000_059 Unordered 32 168.0231291942 4.73778790942479e-05
knapPI_15_100_1000_059 Unordered 64 96.871491377 8.2176700150299e-05
knapPI_15_100_1000_059 Unordered 128 29.3892416895 0.000270867128322134
knapPI_15_100_1000_059 Unordered 200 26.6579053959 0.000298619842098485
knapPI_15_50_1000_072 Ordered 1 3127.2668365388 1
knapPI_15_50_1000_072 Ordered 2 2024.204884385 1.54493592059923
knapPI_15_50_1000_072 Ordered 4 1234.8124979254 2.53258437357323
knapPI_15_50_1000_072 Ordered 8 894.4424725335 3.49633087936986
knapPI_15_50_1000_072 Ordered 32 705.5706654857 4.43225177790811
knapPI_15_50_1000_072 Ordered 64 771.005820635 4.05608719524735
knapPI_15_50_1000_072 Ordered 128 766.2236457157 4.0814021520019
knapPI_15_50_1000_072 Ordered 200 707.253981912 4.42170269311811
knapPI_15_50_1000_072 Unordered 1 0.0066737948 1
knapPI_15_50_1000_072 Unordered 2 NA NA
knapPI_15_50_1000_072 Unordered 4 NA NA
knapPI_15_50_1000_072 Unordered 8 377.7236229182 1.76684602049506e-05
knapPI_15_50_1000_072 Unordered 32 162.6291417813 4.10368936766251e-05
knapPI_15_50_1000_072 Unordered 64 141.0989277339 4.72986925356809e-05
knapPI_15_50_1000_072 Unordered 128 276.0652760232 2.41746984486348e-05
knapPI_15_50_1000_072 Unordered 200 18.5097923993 0.000360554816392883
knapPI_16_100_1000_005 Ordered 1 2509.2914127588 1
knapPI_16_100_1000_005 Ordered 2 1524.5053030035 1.64597093090796
knapPI_16_100_1000_005 Ordered 4 871.7226111447 2.87854345026537
knapPI_16_100_1000_005 Ordered 8 429.7383054919 5.83911506303014
knapPI_16_100_1000_005 Ordered 32 273.6683558412 9.16909594843641
knapPI_16_100_1000_005 Ordered 64 269.2255326726 9.32040652997909
knapPI_16_100_1000_005 Ordered 128 271.0446767182 9.25785166910938
knapPI_16_100_1000_005 Ordered 200 272.0177017605 9.22473573050082
knapPI_16_100_1000_005 Unordered 1 NA NA
knapPI_16_100_1000_005 Unordered 2 176.2002600569 NA
knapPI_16_100_1000_005 Unordered 4 308.8103717552 NA
knapPI_16_100_1000_005 Unordered 8 97.9149420174 NA
knapPI_16_100_1000_005 Unordered 32 457.9275498415 NA
knapPI_16_100_1000_005 Unordered 64 88.3020767735 NA
knapPI_16_100_1000_005 Unordered 128 381.5602994521 NA
knapPI_16_100_1000_005 Unordered 200 255.4901006477 NA
knapPI_16_50_1000_047 Ordered 1 2041.1815927129 1
knapPI_16_50_1000_047 Ordered 2 1170.7619302214 1.7434642688859
knapPI_16_50_1000_047 Ordered 4 709.8148403917 2.87565358817591
knapPI_16_50_1000_047 Ordered 8 475.5933977397 4.29186276010937
knapPI_16_50_1000_047 Ordered 32 335.7315598053 6.07980254789463
knapPI_16_50_1000_047 Ordered 64 335.7711615193 6.07908548035199
knapPI_16_50_1000_047 Ordered 128 334.9089259996 6.09473631262768
knapPI_16_50_1000_047 Ordered 200 339.7282529481 6.00827742467663
knapPI_16_50_1000_047 Unordered 1 NA NA
knapPI_16_50_1000_047 Unordered 2 NA NA
knapPI_16_50_1000_047 Unordered 4 NA NA
knapPI_16_50_1000_047 Unordered 8 50.7633226562 NA
knapPI_16_50_1000_047 Unordered 32 129.5756792599 NA
knapPI_16_50_1000_047 Unordered 64 45.2121965645 NA
knapPI_16_50_1000_047 Unordered 128 40.3735178158 NA
knapPI_16_50_1000_047 Unordered 200 28.4149269535 NA
