instance hosts processes threads workersPerProc totalWorkers runtime maxclique
brock800_2 16 32 5 4 128 46.573 24
brock800_2 16 32 5 4 128 45.051 24
brock400_3 1 1 3 2 2 124.006 31
brock800_3 16 32 5 4 128 36.999 25
brock800_3 16 32 5 4 128 40.274 25
brock800_3 16 32 5 4 128 66.284 25
brock800_3 16 32 5 4 128 38.488 25
brock800_3 16 32 5 4 128 45.445 25
brock800_4 16 32 5 4 128 21.337 26
brock800_4 16 32 5 4 128 23.208 26
brock800_4 16 32 5 4 128 42.426 26
brock800_4 16 32 5 4 128 33.956 26
brock800_4 16 32 5 4 128 41.951 26
brock400_1 1 1 2 1 1 248.465 27
brock400_3 1 1 5 4 4 115.897 31
p_hat500-3 16 32 5 4 128 4.399 50
p_hat500-3 16 32 5 4 128 4.527 50
p_hat500-3 16 32 5 4 128 4.501 50
p_hat500-3 16 32 5 4 128 4.861 50
p_hat500-3 16 32 5 4 128 5.103 50
p_hat700-3 16 32 5 4 128 26.28 62
p_hat700-3 16 32 5 4 128 19.847 62
p_hat700-3 16 32 5 4 128 23.023 62
p_hat700-3 16 32 5 4 128 19.524 62
p_hat700-3 16 32 5 4 128 25.263 62
brock400_3 1 1 5 4 4 123.197 31
sanr200_0.9 16 32 5 4 128 0.972 42
sanr200_0.9 16 32 5 4 128 0.938 42
sanr200_0.9 16 32 5 4 128 2.053 42
sanr200_0.9 16 32 5 4 128 1.1 42
sanr200_0.9 16 32 5 4 128 0.804 42
sanr400_0.7 16 32 5 4 128 5.818 21
sanr400_0.7 16 32 5 4 128 4.836 21
sanr400_0.7 16 32 5 4 128 2.877 21
sanr400_0.7 16 32 5 4 128 3.461 21
sanr400_0.7 16 32 5 4 128 3.923 21
brock400_3 1 1 5 4 4 115.691 31
brock400_1 17 50 5 4 200 5.623 27
brock400_1 17 50 5 4 200 7.395 27
brock400_1 17 50 5 4 200 3.452 27
brock400_1 17 50 5 4 200 4.643 27
brock400_1 17 50 5 4 200 4.509 27
brock400_2 17 50 5 4 200 5.028 29
brock400_2 17 50 5 4 200 13.45 29
brock400_2 17 50 5 4 200 3.726 29
brock400_2 17 50 5 4 200 6.577 29
brock400_2 17 50 5 4 200 3.648 29
brock400_3 1 1 5 4 4 107.797 31
brock400_3 17 50 5 4 200 2.701 31
brock400_3 17 50 5 4 200 5.096 31
brock400_3 17 50 5 4 200 2.818 31
brock400_3 17 50 5 4 200 2.528 31
brock400_3 17 50 5 4 200 2.978 31
brock400_4 17 50 5 4 200 6.231 33
brock400_4 17 50 5 4 200 3.407 33
brock400_4 17 50 5 4 200 6.151 33
brock400_4 17 50 5 4 200 2.429 33
brock400_4 17 50 5 4 200 4.687 33
brock400_3 1 1 5 4 4 117.715 31
brock800_1 17 50 5 4 200 32.292 23
brock800_1 17 50 5 4 200 42.978 23
brock800_1 17 50 5 4 200 42.574 23
brock800_1 17 50 5 4 200 60.301 23
brock800_1 17 50 5 4 200 52.296 23
brock800_2 17 50 5 4 200 45.92 24
brock800_2 17 50 5 4 200 53.839 24
brock800_2 17 50 5 4 200 23.285 24
brock800_2 17 50 5 4 200 35.73 24
brock800_2 17 50 5 4 200 45.347 24
brock400_4 1 1 2 1 1 75.857 33
brock800_3 17 50 5 4 200 48.643 25
brock800_3 17 50 5 4 200 22.641 25
brock800_3 17 50 5 4 200 28.326 25
brock800_3 17 50 5 4 200 35.016 25
brock800_3 17 50 5 4 200 36.822 25
brock800_4 17 50 5 4 200 39.036 26
brock800_4 17 50 5 4 200 24.994 26
brock800_4 17 50 5 4 200 27.687 26
brock800_4 17 50 5 4 200 20.887 26
brock800_4 17 50 5 4 200 16.898 26
brock400_4 1 1 2 1 1 70.066 33
p_hat500-3 17 50 5 4 200 4.418 50
p_hat500-3 17 50 5 4 200 6.719 50
p_hat500-3 17 50 5 4 200 6.068 50
p_hat500-3 17 50 5 4 200 6.702 50
p_hat500-3 17 50 5 4 200 10.437 50
p_hat700-3 17 50 5 4 200 27.991 62
p_hat700-3 17 50 5 4 200 26.634 62
p_hat700-3 17 50 5 4 200 21.726 62
p_hat700-3 17 50 5 4 200 22.617 62
p_hat700-3 17 50 5 4 200 29.929 62
brock400_4 1 1 2 1 1 76.343 33
sanr200_0.9 17 50 5 4 200 1.547 42
sanr200_0.9 17 50 5 4 200 1.127 42
sanr200_0.9 17 50 5 4 200 1.743 42
sanr200_0.9 17 50 5 4 200 1.822 42
sanr200_0.9 17 50 5 4 200 1.055 42
sanr400_0.7 17 50 5 4 200 2.638 21
sanr400_0.7 17 50 5 4 200 2.64 21
