instance hosts processes schedulers cores totalWorkers runtime
brock800_1 1 1 4 5 4 4539.485982868
brock800_1 1 1 4 5 4 5986.931471104
brock800_1 1 1 4 5 4 6010.726265294
brock800_1 1 1 4 5 4 6026.76582311
brock800_1 1 1 4 5 4 6080.692541397
brock800_1 1 1 4 5 4 6090.156174148
brock800_1 1 1 4 5 4 6093.451662092
brock800_1 1 1 4 5 4 6097.781396801
brock800_1 1 1 4 5 4 6106.468974219
brock800_1 2 2 4 5 8 1538.163834011
brock800_1 2 2 4 5 8 1573.155201592
brock800_1 2 2 4 5 8 3023.12489202
brock800_1 2 2 4 5 8 3025.068106374
brock800_1 2 2 4 5 8 3025.286844605
brock800_1 2 2 4 5 8 3105.359347171
brock800_1 2 2 4 5 8 3119.101275424
brock800_1 2 2 4 5 8 3125.511972368
brock800_1 2 2 4 5 8 3127.649448735
brock800_1 2 2 4 5 8 3132.195646703
brock800_1 4 8 4 5 32 396.091922104
brock800_1 4 8 4 5 32 758.601067955
brock800_1 4 8 4 5 32 760.017185938
brock800_1 4 8 4 5 32 763.528823324
brock800_1 4 8 4 5 32 765.765230991
brock800_1 4 8 4 5 32 768.302082197
brock800_1 4 8 4 5 32 776.656730387
brock800_1 4 8 4 5 32 777.390773637
brock800_1 4 8 4 5 32 789.406096067
brock800_1 4 8 4 5 32 791.361907583
brock800_1 8 16 4 5 64 203.001685862
brock800_1 8 16 4 5 64 386.262556767
brock800_1 8 16 4 5 64 390.429414723
brock800_1 8 16 4 5 64 390.839192206
brock800_1 8 16 4 5 64 391.670823213
brock800_1 8 16 4 5 64 396.077297874
brock800_1 8 16 4 5 64 400.695663134
brock800_1 8 16 4 5 64 401.696096523
brock800_1 8 16 4 5 64 406.686572389
brock800_1 8 16 4 5 64 999.892199941
brock800_1 16 32 4 5 128 102.137086994
brock800_1 16 32 4 5 128 102.263022866
brock800_1 16 32 4 5 128 1176.552310037
brock800_1 16 32 4 5 128 196.933527651
brock800_1 16 32 4 5 128 196.941046491
brock800_1 16 32 4 5 128 203.601176036
brock800_1 16 32 4 5 128 204.378669612
brock800_1 16 32 4 5 128 204.972016488
brock800_1 16 32 4 5 128 207.425709912
brock800_1 16 32 4 5 128 209.543084135
brock800_1 17 50 4 5 200 1182.292685691
brock800_1 17 50 4 5 200 147.392228323
brock800_1 17 50 4 5 200 154.201275472
brock800_1 17 50 4 5 200 156.426795854
brock800_1 17 50 4 5 200 159.660054342
brock800_1 17 50 4 5 200 160.765790843
brock800_1 17 50 4 5 200 161.938819878
brock800_1 17 50 4 5 200 77.094221218
brock800_1 17 50 4 5 200 78.060915039
brock800_1 17 50 4 5 200 80.026838388
brock800_2 1 1 1 2 1 24063.378033215
brock800_2 1 1 1 2 1 24215.136675761
brock800_2 1 1 1 2 1 24235.026787823
brock800_2 1 1 1 2 1 24726.526954302
brock800_2 1 1 1 2 1 24730.323685739
brock800_2 1 1 1 2 1 23652.651576975
brock800_2 1 1 1 2 1 23877.136250809
brock800_2 1 1 1 2 1 24432.068421985
brock800_2 1 1 1 2 1 24484.398653582
brock800_2 1 1 1 2 1 24915.66998971
brock800_2 1 1 2 3 2 12124.346840234
brock800_2 1 1 2 3 2 12520.978304299
brock800_2 1 1 2 3 2 12557.055737905
brock800_2 1 1 2 3 2 12613.639191486
brock800_2 1 1 2 3 2 2745.195844074
brock800_2 1 1 2 3 2 12474.063058736
brock800_2 1 1 2 3 2 12534.405292173
brock800_2 1 1 2 3 2 12538.093132837
brock800_2 1 1 2 3 2 12602.711923302
brock800_2 1 1 2 3 2 12866.948361732
brock800_2 1 1 4 5 4 6621.404666133
brock800_2 1 1 4 5 4 6703.47893193
brock800_2 1 1 4 5 4 6726.762458392
brock800_2 1 1 4 5 4 6732.447542471
brock800_2 1 1 4 5 4 6750.644903453
brock800_2 1 1 4 5 4 6784.66809486
brock800_2 1 1 4 5 4 7049.58015662
brock800_2 1 1 4 5 4 7077.84759314
brock800_2 1 1 4 5 4 7098.368772711
brock800_2 1 1 4 5 4 7109.474236949
brock800_2 2 2 4 5 8 1742.387380412
brock800_2 2 2 4 5 8 3376.835231732
brock800_2 2 2 4 5 8 3377.673635855
brock800_2 2 2 4 5 8 3413.844846537
brock800_2 2 2 4 5 8 3418.327138666
brock800_2 2 2 4 5 8 3418.723321714
brock800_2 2 2 4 5 8 3503.615364763
brock800_2 2 2 4 5 8 3524.870532511
brock800_2 2 2 4 5 8 3563.819726986
brock800_2 2 2 4 5 8 3564.954630676
brock800_2 4 8 4 5 32 436.972349583
brock800_2 4 8 4 5 32 840.484767683
brock800_2 4 8 4 5 32 845.895288189
brock800_2 4 8 4 5 32 854.563690511
brock800_2 4 8 4 5 32 855.887897452
brock800_2 4 8 4 5 32 856.914052107
brock800_2 4 8 4 5 32 868.42751617
brock800_2 4 8 4 5 32 884.153554274
brock800_2 4 8 4 5 32 884.97480252
brock800_2 4 8 4 5 32 886.293784474
brock800_2 8 16 4 5 64 219.108123359
brock800_2 8 16 4 5 64 424.051999267
brock800_2 8 16 4 5 64 424.427198497
brock800_2 8 16 4 5 64 434.235214449
brock800_2 8 16 4 5 64 438.994652888
brock800_2 8 16 4 5 64 439.479773987
brock800_2 8 16 4 5 64 444.619636064
brock800_2 8 16 4 5 64 446.562634573
brock800_2 8 16 4 5 64 453.252432007
brock800_2 8 16 4 5 64 458.564293348
brock800_2 16 32 4 5 128 212.591073806
brock800_2 16 32 4 5 128 213.533281519
brock800_2 16 32 4 5 128 213.796825916
brock800_2 16 32 4 5 128 214.547040957
brock800_2 16 32 4 5 128 216.210719796
brock800_2 16 32 4 5 128 223.362279482
brock800_2 16 32 4 5 128 224.078712584
brock800_2 16 32 4 5 128 226.046885837
brock800_2 16 32 4 5 128 226.853825647
brock800_2 16 32 4 5 128 235.69128158
brock800_2 17 50 4 5 200 121.513158649
brock800_2 17 50 4 5 200 1231.399409728
brock800_2 17 50 4 5 200 160.751412856
brock800_2 17 50 4 5 200 162.070695191
brock800_2 17 50 4 5 200 163.130479546
brock800_2 17 50 4 5 200 166.640201483
brock800_2 17 50 4 5 200 169.228985329
brock800_2 17 50 4 5 200 173.357394665
brock800_2 17 50 4 5 200 175.728007721
brock800_2 17 50 4 5 200 176.012956331
brock800_3 1 1 1 2 1 12019.219415144
brock800_3 1 1 1 2 1 12133.533956451
brock800_3 1 1 1 2 1 12207.457365192
brock800_3 1 1 1 2 1 12654.362885162
brock800_3 1 1 1 2 1 12664.486694593
brock800_3 1 1 1 2 1 12148.113390458
brock800_3 1 1 1 2 1 12152.121868908
brock800_3 1 1 1 2 1 12317.471983924
brock800_3 1 1 1 2 1 12333.173850029
brock800_3 1 1 1 2 1 12510.034336402
brock800_3 1 1 2 3 2 6419.790689121
brock800_3 1 1 2 3 2 6610.931340648
brock800_3 1 1 2 3 2 6614.362472714
brock800_3 1 1 2 3 2 6655.460609759
brock800_3 1 1 2 3 2 6665.770381491
brock800_3 1 1 2 3 2 3350.721222298
brock800_3 1 1 2 3 2 3355.630227549
